method,nms_iou,stride,threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,elapsed_sec
SQDIFF_NORMED,0.2,2,0.5,12,4,0,26,0.9047619047619048,0.75,1.0,0.8571428571428571,19.071
SQDIFF_NORMED,0.4,2,0.5,12,4,0,26,0.9047619047619048,0.75,1.0,0.8571428571428571,25.149
SQDIFF_NORMED,0.6,2,0.5,12,4,0,26,0.9047619047619048,0.75,1.0,0.8571428571428571,34.673
SQDIFF_NORMED,0.8,2,0.5,12,4,0,26,0.9047619047619048,0.75,1.0,0.8571428571428571,25.706
SQDIFF_NORMED,0.2,1,0.5,12,9,0,21,0.7857142857142857,0.5714285714285714,1.0,0.7272727272727273,20.182
SQDIFF_NORMED,0.4,1,0.5,12,9,0,21,0.7857142857142857,0.5714285714285714,1.0,0.7272727272727273,111.905
SQDIFF_NORMED,0.6,1,0.5,12,9,0,21,0.7857142857142857,0.5714285714285714,1.0,0.7272727272727273,22.843
SQDIFF_NORMED,0.8,1,0.5,12,9,0,21,0.7857142857142857,0.5714285714285714,1.0,0.7272727272727273,23.165
CCORR_NORMED,0.2,2,0.5,5,6,7,24,0.6904761904761905,0.45454545454545453,0.4166666666666667,0.43478260869565216,15.006
CCORR_NORMED,0.2,1,0.5,6,12,6,18,0.5714285714285714,0.3333333333333333,0.5,0.4,33.57
CCORR_NORMED,0.4,2,0.5,4,6,8,24,0.6666666666666666,0.4,0.3333333333333333,0.3636363636363636,13.355
CCORR_NORMED,0.8,1,0.5,5,11,7,19,0.5714285714285714,0.3125,0.4166666666666667,0.35714285714285715,31.786
CCORR_NORMED,0.4,1,0.5,5,12,7,18,0.5476190476190477,0.29411764705882354,0.4166666666666667,0.3448275862068966,33.789
CCORR_NORMED,0.6,1,0.5,5,12,7,18,0.5476190476190477,0.29411764705882354,0.4166666666666667,0.3448275862068966,29.177
CCORR_NORMED,0.6,2,0.5,3,6,9,24,0.6428571428571429,0.3333333333333333,0.25,0.28571428571428575,13.128
CCORR_NORMED,0.8,2,0.5,3,6,9,24,0.6428571428571429,0.3333333333333333,0.25,0.28571428571428575,11.128
CCOEFF_NORMED,0.2,2,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,11.446
CCOEFF_NORMED,0.4,2,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,14.284
CCORR_NORMED,0.2,1,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,38.612
CCORR_NORMED,0.2,2,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,14.94
CCORR_NORMED,0.4,1,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,36.647
CCORR_NORMED,0.4,2,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,13.782
CCORR_NORMED,0.6,1,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,31.181
CCORR_NORMED,0.6,2,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,250.24
CCORR_NORMED,0.8,1,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,31.786
CCORR_NORMED,0.8,2,0.8,2,0,10,30,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857,11.704
CCOEFF_NORMED,0.2,2,0.5,2,1,10,29,0.7380952380952381,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.786
CCOEFF_NORMED,0.4,2,0.5,2,1,10,29,0.7380952380952381,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.358
CCOEFF_NORMED,0.6,2,0.5,1,0,11,30,0.7380952380952381,1.0,0.08333333333333333,0.15384615384615385,13.993
CCOEFF_NORMED,0.6,2,0.8,1,0,11,30,0.7380952380952381,1.0,0.08333333333333333,0.15384615384615385,16.577
CCOEFF_NORMED,0.8,2,0.5,1,0,11,30,0.7380952380952381,1.0,0.08333333333333333,0.15384615384615385,14.372
CCOEFF_NORMED,0.8,2,0.8,1,0,11,30,0.7380952380952381,1.0,0.08333333333333333,0.15384615384615385,14.458
CCOEFF_NORMED,0.2,1,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,34.163
CCOEFF_NORMED,0.2,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,33.759
CCOEFF_NORMED,0.2,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,9.463
CCOEFF_NORMED,0.4,1,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,28.476
CCOEFF_NORMED,0.4,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,30.321
CCOEFF_NORMED,0.4,3,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.212
CCOEFF_NORMED,0.4,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.839
CCOEFF_NORMED,0.6,1,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,33.525
CCOEFF_NORMED,0.6,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,32.842
CCOEFF_NORMED,0.6,3,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,10.893
CCOEFF_NORMED,0.6,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,10.255
CCOEFF_NORMED,0.8,1,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,30.627
CCOEFF_NORMED,0.8,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,32.512
CCOEFF_NORMED,0.8,3,0.5,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,11.313
CCOEFF_NORMED,0.8,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,11.116
CCORR_NORMED,0.2,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,10.228
CCORR_NORMED,0.4,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.863
CCORR_NORMED,0.6,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,10.992
CCORR_NORMED,0.8,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.317
SQDIFF_NORMED,0.2,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,21.574
SQDIFF_NORMED,0.2,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,11.748
SQDIFF_NORMED,0.2,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,8.575
SQDIFF_NORMED,0.4,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,51.923
SQDIFF_NORMED,0.4,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,25.121
SQDIFF_NORMED,0.4,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,9.156
SQDIFF_NORMED,0.6,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,22.89
SQDIFF_NORMED,0.6,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,24.298
SQDIFF_NORMED,0.6,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,17.089
SQDIFF_NORMED,0.8,1,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,48.41
SQDIFF_NORMED,0.8,2,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,12.115
SQDIFF_NORMED,0.8,3,0.8,0,0,12,30,0.7142857142857143,0.0,0.0,0.0,16.842
CCOEFF_NORMED,0.2,3,0.5,0,1,12,29,0.6904761904761905,0.0,0.0,0.0,8.622
SQDIFF_NORMED,0.2,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,8.949
SQDIFF_NORMED,0.4,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,17.065
SQDIFF_NORMED,0.6,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,20.591
SQDIFF_NORMED,0.8,3,0.5,0,2,12,28,0.6666666666666666,0.0,0.0,0.0,10.346
CCORR_NORMED,0.2,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,10.347
CCORR_NORMED,0.4,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,9.283
CCORR_NORMED,0.6,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,10.966
CCORR_NORMED,0.8,3,0.5,0,3,12,27,0.6428571428571429,0.0,0.0,0.0,8.308
